y,m,d,Rainfall,Snowfall,Melt,Refreeze,Snowpack,Snowpack_ice,Eact,I,S_SOIL,S_UZ,S_LZ,QGW0,QGW1,QGW2,QGW,Qsim,Qobs
2001,3,26,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,27,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,28,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,29,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,31,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,4,12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,14,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,15,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,16,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,19,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,21,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,22,19.000,0.000,0.000,0.000,0.000,0.000,0.000,19.000,19.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,23,0.000,0.000,0.000,0.000,0.000,0.000,0.436,0.000,18.566,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,24,0.000,0.000,0.000,0.000,0.000,0.000,0.412,0.000,18.155,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,25,0.000,0.000,0.000,0.000,0.000,0.000,0.389,0.000,17.766,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,26,0.000,0.000,0.000,0.000,0.000,0.000,0.367,0.000,17.399,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00
2001,4,27,9.000,0.000,0.000,0.000,0.000,0.000,0.346,9.000,25.561,0.442,0.000,0.000,0.048,0.000,0.048,0.024,0.00
2001,4,28,0.000,0.000,0.000,0.000,0.000,0.000,0.490,0.000,25.071,0.399,0.001,0.000,0.043,0.000,0.043,0.046,0.00
2001,4,29,0.000,0.000,0.000,0.000,0.000,0.000,0.463,0.000,24.608,0.359,0.001,0.000,0.039,0.000,0.039,0.041,0.00
2001,4,30,0.000,4.610,0.000,0.000,4.610,4.610,0.438,0.000,24.170,0.323,0.001,0.000,0.035,0.000,0.035,0.037,0.00
2001,5,1,0.000,0.000,4.610,0.000,0.000,0.000,0.413,4.610,28.002,0.621,0.002,0.000,0.068,0.000,0.068,0.052,0.00
2001,5,2,0.000,0.000,0.000,0.000,0.000,0.000,0.460,0.000,27.542,0.560,0.002,0.000,0.061,0.000,0.061,0.064,0.00
2001,5,3,0.000,0.000,0.000,0.000,0.000,0.000,0.434,0.000,27.108,0.504,0.002,0.000,0.055,0.000,0.055,0.058,0.01
2001,5,4,0.000,0.000,0.000,0.000,0.000,0.000,0.409,0.000,26.700,0.455,0.002,0.000,0.049,0.000,0.050,0.052,0.03
2001,5,5,0.000,0.000,0.000,0.000,0.000,0.000,0.385,0.000,26.315,0.410,0.002,0.000,0.045,0.000,0.045,0.047,0.08
2001,5,6,0.000,0.000,0.000,0.000,0.000,0.000,0.363,0.000,25.951,0.369,0.003,0.000,0.040,0.000,0.040,0.043,0.08
2001,5,7,0.000,0.000,0.000,0.000,0.000,0.000,0.342,0.000,25.609,0.332,0.003,0.000,0.036,0.000,0.036,0.038,0.07
2001,5,8,0.000,0.000,0.000,0.000,0.000,0.000,0.322,0.000,25.286,0.299,0.003,0.000,0.033,0.000,0.033,0.035,0.06
2001,5,9,0.000,0.000,0.000,0.000,0.000,0.000,0.303,0.000,24.984,0.270,0.003,0.000,0.029,0.000,0.030,0.031,0.05
2001,5,10,0.000,0.000,0.000,0.000,0.000,0.000,0.284,0.000,24.700,0.243,0.003,0.000,0.026,0.000,0.027,0.028,0.04
2001,5,11,0.000,0.000,0.000,0.000,0.000,0.000,0.267,0.000,24.433,0.218,0.003,0.000,0.024,0.000,0.024,0.025,0.04
2001,5,12,0.000,1.153,0.000,0.000,1.153,1.153,0.251,0.000,24.182,0.197,0.003,0.000,0.021,0.000,0.022,0.023,0.03
2001,5,13,0.000,0.000,0.000,0.000,1.153,1.153,0.235,0.000,23.947,0.177,0.003,0.000,0.019,0.000,0.020,0.021,0.03
